ISBN,Authors,Titles
0000913154,C. van Amerongen (translator),The Way Things Work: An Illustrated Encyclopedia of Technology
0001010565,Judith Kerr,Mog's Christmas
0001046438,Stephen Fry,Liar
0001046713,Helen Forrester,Twopence to Cross the Mersey
000104687X,T.S. Eliot,"T.S. Eliot Reading \The Wasteland\"" and Other Poems"""
0001046934,Muriel Spark,The Prime of Miss Jean Brodie
0001047213,Gerald Seymour,The Fighting Man
0001047647,Jeffrey Archer,First Among Equals
0001047663,Jeffrey Archer,Matter Of Honour
0001047868,Robert Louis Stevenson,Kidnapped
0001047973,Aldous Huxley,Brave New World
000104799X,Ellis Peters,Monk's-hood
0001048082,Bill Bryson,Made in America
0001048473,Barns &amp; Budd,Nothing Can Be Better
0001049879,Elizabeth Buchan,Daughters of the Storm
0001052039,Michael Dibdin,Dark Spectre
0001053736,J. R. R. Tolkien,Sir Gawain and the Green Knight
0001053744,J. R. R. Tolkien,Pearl and Sir Orfeo
0001055607,Shani Mootoo,Cereus Blooms At Night
0001056107,J. R. R. Tolkien,Farmer Giles of Ham: And Other Stories
0001061127,William T. McLeod,CHESS FOR YOUNG BEGINNERS
000123207X,Michael Bond,Paddington's Birthday Party
0001232088,Michael Bond,Paddington in the Kitchen
0001360469,Mandy Stanley,Babe Dressing
0001372564,Sue Dreamer,Which Colour?
0001374362,Nick Butterworth,When It's Time for Bed (Collins Baby &amp; Toddler S.)
0001374869,Fiona Pragoff,Baby Plays (Collins Baby and Toddler Series)
0001382381,Huck Scarry,Huck Scarry's Steam Train Journey
0001382608,Huck Scarry,On the Road
000160418X,Carolyn Keene,The Clue in the Crumbling Wall
0001711105,Bennett Cerf,The Book of Riddles (Beginner Books)
0001711253,Stan Berenstein,The Big Honey Hunt
000171421X,Marilyn Sadler,It's Not Easy Being a Bunny (A Beginner Book)
0001714236,Mark Brown,Spooky Riddles
0001714600,Robert Lopshire,I Want to Be Somebody New! (I Can Read It All by Myself)
0001718126,Seuss,ARE YOU MY MOTHER MINI PB (EXPORT)
0001811150,Diane Wilmer,Day Time (Step by Step)
0001811819,Michael Bond,Paddington and the Marmalade Maze (Paddington First Books)
0001821326,Michael Bond,Paddington at the Tower (A Paddington Picture Book)
0001821504,Michael Bond,The Adventures of Paddington
0001837397,Jill Barklem,Autumn Story Brambly Hedge
0001840517,Robert Leeson,Bess
0001841572,Alan Garner,Red Shift
000184251X,John Verney,February's Road
0001842749,Noel Streatfeild,The Growing Summer
0001845039,Alan Garner,The Moon of Gomrath
0001846086,Tony Drake,There Will Be a Next Time
0001848445,Andrew Taylor,THE COAL HOUSE T/PB
0001848461,Gareth Owen,SONG OF THE CITY CSD
0001850121,Ellen Miller,A place called Lantern Light
0001856367,Jean Ure,The Collins Book of Ballet and Dance
0001857258,Ian Whybrow,Little Wolf's Book of Badness
0001900277,Harriet Hains,Glue (First Facts - First Skills)
0001935968,Jill Barklem,The Brambly Hedge Treasury
0001939203,Jonathan Langley,The Collins Book of Nursery Tales
0001941941,Alison Uttley,Little Grey Rabbit's Christmas (Collins Colour Cubs)
0001941968,Alison Uttley,Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs)
000194214X,Alison Uttley,Little Grey Rabbit makes lace (The Little Grey Rabbit library)
0001944711,Maureen Spurgeon,Count Duckula: Vampire Vacation
0001944835,Hilda Boswell,Hilda Boswell's Blue Treasury
0001945203,Maureen Spurgeon,The Revenge of Murray the Mantis
0001952404,P. L Travers,Friend Monkey
